question,answer,len_q1,len_q2,diff_len,len_char_q1,len_char_q2,len_word_q1,len_word_q2,common_words,fuzz_qratio,fuzz_WRatio,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio,wmd,norm_wmd,cosine_distance,cityblock_distance,jaccard_distance,canberra_distance,euclidean_distance,minkowski_distance,braycurtis_distance,skew_q1vec,skew_q2vec,kur_q1vec,kur_q2vec
a flute is being played by a girl,one woman is practicing with a flute,33,36,-3,15,17,8,7,3,38,54,39,100,39,57,41,2.0800456689556546,0.7895037830884234,0.23218760959925022,9.256697607517708,1.0,147.5209175973601,0.6814508467011451,0.31245249387288454,0.37183008422405894,0.5688724416797935,0.14117479462706953,2.0466150343089033,0.9410254664533211
a boy is happily playing the piano,one boy is happily playing a piano,34,34,0,13,12,7,7,6,88,89,91,100,88,94,88,0.5798335524215699,0.2633773145379245,0.01947927951249373,2.6443534167756297,1.0,67.99117537224956,0.1973792327990953,0.09084471756387848,0.09826666153157532,0.45425583097929345,0.44542154542076673,0.35336876894588043,0.3845948615668271
the boy isn't playing the piano happily,a boy is happily playing the piano,39,34,5,14,13,7,7,5,71,88,74,100,91,93,88,0.7026598522319556,0.2672990469784022,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.45425583097929345,0.45425583097929345,0.35336876894588043,0.35336876894588043
a boy is happily playing the piano,a piano is being played by a person,34,35,-1,13,13,7,8,3,49,60,50,100,59,63,58,2.039391521112918,0.7970834912495199,0.24025978216175503,9.365477566185291,1.0,138.18038945023648,0.6931951857704306,0.3164362132096681,0.3665600513580563,0.45425583097929345,0.27209752526900627,0.35336876894588043,0.5364267179550186
a boy is happily playing the piano,a piano isn't being played by a man,34,35,-1,13,15,7,8,2,49,60,48,100,63,63,61,1.7338669864388705,0.6851876435372531,0.17794735644867787,8.358402956830105,1.0,130.9856251265641,0.5965691346910981,0.26734550751871816,0.3205429964845445,0.45425583097929345,0.28195588390748483,0.35336876894588043,0.5490940237084834
a boy is happily playing the piano,the piano player is being a tough man,34,37,-3,13,16,7,8,4,48,65,50,100,65,68,62,2.0571387498406173,0.79084506551072,0.28291760350915873,10.274805395543808,1.0,145.8850522673274,0.7522201923773834,0.33750460148867895,0.4022843145929221,0.45425583097929345,0.09330623459484993,0.35336876894588043,0.37882396970216137
a piano is being played by a man,the play is about a happy boy playing the piano,32,47,-15,13,14,8,10,3,48,60,50,100,66,63,56,1.9608443950259276,0.7547633059179099,0.17644445917371088,8.366590849152999,1.0,135.56836460001725,0.5940445658535771,0.2635651240273768,0.3207948205150296,0.28195588390748483,0.2970395969105588,0.5490940237084834,0.004574168917478083
a boy is happily playing the piano,a piano is being played by a man,34,32,2,13,13,7,8,3,52,63,50,100,59,66,61,1.8138881199828418,0.7042381607515104,0.17794735644867787,8.358402956830105,1.0,130.9856251265641,0.5965691346910981,0.26734550751871816,0.3205429964845445,0.45425583097929345,0.28195588390748483,0.35336876894588043,0.5490940237084834
a cheetah is quickly running behind its prey.,the cheetah is running quickly behind its prey,45,46,-1,19,18,8,8,6,78,93,79,100,95,98,93,0.7827111652278901,0.2611418388229668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007045915997467266,-0.007045915997467266,-0.2869852981114436,-0.2869852981114436
a cheetah is quickly running behind its prey.,there is no cheetah quickly running behind its prey,45,51,-6,19,19,8,9,6,84,93,93,100,93,98,88,0.7827111652278901,0.2611418388229668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007045915997467266,-0.007045915997467266,-0.2869852981114436,-0.2869852981114436
a cheetah is quickly running behind its prey.,a prey is quickly running behind the cheetah,45,44,1,19,18,8,8,6,75,90,75,100,91,95,91,0.7827111652278901,0.2611418388229668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007045915997467266,-0.007045915997467266,-0.2869852981114436,-0.2869852981114436
a cheetah is chasing its prey across a field,the cheetah is running quickly behind its prey,44,46,-2,16,18,9,8,4,56,61,57,100,52,64,51,1.7451467971658705,0.7398379674007178,0.1823939498437489,8.108479058821104,1.0,128.88388314984434,0.6039767362105989,0.2799654396601461,0.30554771339086334,-0.03751995689462444,-0.007045915997467266,-0.014122706105426097,-0.2869852981114436
a cheetah is chasing its prey across a field,there is no cheetah quickly running behind its prey,44,51,-7,16,19,9,9,4,48,59,55,100,52,62,48,1.7451467971658705,0.7398379674007178,0.1823939498437489,8.108479058821104,1.0,128.88388314984434,0.6039767362105989,0.2799654396601461,0.30554771339086334,-0.03751995689462444,-0.007045915997467266,-0.014122706105426097,-0.2869852981114436
a cheetah is shaken off by its prey across a field.,a cheetah is quickly running behind its prey.,51,45,6,18,19,11,8,4,55,62,58,100,58,65,55,2.5376610500681402,0.9657599115337432,0.22020838161818623,9.232967274918337,1.0,139.97031186351705,0.6636390473361082,0.2987618029865821,0.3518262059696516,0.00494268835295641,-0.007045915997467266,-0.008247568958274165,-0.2869852981114436
a lion is pacing tiredly in a pen,the lion is pacing tiredly in the pen,33,37,-4,14,15,8,8,6,89,92,91,100,76,97,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06514408259305877,0.06514408259305877,-0.3715728575930841,-0.3715728575930841
a lion is tiring the whole pen by pacing,a lion is pacing tiredly in a pen,40,33,7,16,14,9,8,5,63,74,64,100,76,78,71,1.2592490809566736,0.49922711493849753,0.12284529947568434,6.783239845128264,1.0,107.25962725624491,0.49567186848350203,0.22624324658752623,0.24730736869299122,-0.014446268647120116,0.06514408259305877,-0.4104080140459505,-0.3715728575930841
a lion is slowly walking,a lion is slowly moving around,24,30,-6,10,14,5,6,4,74,76,83,100,64,80,59,1.5382727867274402,0.6076689728558351,0.17644787326049394,8.233437691729705,1.0,128.99853378677412,0.5940502961186647,0.2660591797234126,0.3098105523020397,0.202076909001801,-0.10884661438997287,-0.22950827184530098,-0.27781808961180854
the lion is pacing tiredly in the pen,a lion is slowly walking,37,24,13,15,10,8,5,2,46,86,54,100,54,46,43,2.516116284046977,0.9123396113011297,0.3767052883368964,12.052866360012558,1.0,156.55422112587263,0.8679922663474057,0.39037356401799633,0.4755456090671363,0.06514408259305877,0.202076909001801,-0.3715728575930841,-0.22950827184530098
there is no man playing the guitar loudly,a flute is being played by a man,41,32,9,16,15,8,8,2,44,46,44,100,50,48,44,2.068900477967183,0.7062676196805844,0.22212087809703818,9.061468625401176,1.0,138.29393085541486,0.6665146310386374,0.3028145379996161,0.3523188513982678,0.13549453253616542,0.4150067826456184,0.12188551145410642,1.076419022887225
the loud man is not allowed to play the guitar,a flute is being played by a man,46,32,14,17,15,10,8,2,44,53,47,100,50,56,46,2.415905662324778,0.8540750345775707,0.31394567561318065,11.049423272237618,1.0,156.1023133107579,0.7923959638961389,0.3556388288039167,0.44181730715192363,-0.03734913836877238,0.4150067826456184,-0.12702224415948216,1.076419022887225
a man is playing the guitar loudly,a flute is being played by a man,34,32,2,16,15,7,8,3,42,56,44,100,53,59,55,2.068900477967183,0.7062676196805844,0.22212087809703818,9.061468625401176,1.0,138.29393085541486,0.6665146310386374,0.3028145379996161,0.3523188513982678,0.13549453253616542,0.4150067826456184,0.12188551145410642,1.076419022887225
the person isn't dicing up an orange pepper,the person is dicing up a pepper which is orange,43,48,-5,15,15,8,10,6,70,86,74,100,91,91,86,0.7527021417234897,0.26890924746124745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03490393317459942,-0.03490393317459942,0.08019048834627629,0.08019048834627629
the person is dicing up a pepper which is orange,the orange colored dices are being cast by a cook to win the pepper,48,67,-19,15,18,10,14,4,42,56,42,100,64,59,59,2.4887137058357043,0.8474388626030367,0.2594952364433709,9.593473356973846,1.0,141.58148059595138,0.7204099405331995,0.3320407558978825,0.3757089418650433,-0.03490393317459942,0.16763658852242821,0.08019048834627629,-0.18386353301050518
some bells are ringing near a cook slicing peppers,a cook is slicing some bell peppers,50,35,15,14,14,9,7,5,52,83,63,100,74,87,78,1.711487219565659,0.5702815753396768,0.1378439038999162,7.199803869851166,1.0,117.54996180262242,0.5250598226018487,0.23836130324300245,0.27083005178420244,0.01520412099271081,0.17232209568382661,0.21591543491064913,-0.01605673753599257
there is no cook slicing some bell peppers,the person is dicing up a pepper which is orange,42,48,-6,15,15,8,10,1,51,51,55,100,50,48,47,3.4813996355338097,1.1281846414104104,0.44624045151316205,13.237588677526219,1.0,174.2024285430736,0.9447121161382201,0.4218881590896465,0.5438123321844832,0.17232209568382661,-0.03490393317459942,-0.01605673753599257,0.08019048834627629
a cook is slicing some bell peppers,an orange pepper is being diced up by a person,35,46,-11,14,14,7,10,2,47,49,49,100,49,52,49,3.5465784253714085,1.1481712510220705,0.473003292764692,13.677073171245866,1.0,176.2652915981956,0.9726287236096949,0.43158440146938476,0.5699839434984523,0.17232209568382661,-0.07868208904765853,-0.01605673753599257,-0.1989045961509892
the person isn't dicing up an orange pepper,a cook is slicing some bell peppers,43,35,8,15,14,8,7,0,54,54,57,49,49,46,46,3.5449969890697006,1.1676418975254295,0.44624045151316205,13.237588677526219,1.0,174.2024285430736,0.9447121161382201,0.4218881590896465,0.5438123321844832,-0.03490393317459942,0.17232209568382661,0.08019048834627629,-0.01605673753599257
the person is dicing up a pepper which is orange,a cook is slicing some bell peppers,48,35,13,15,14,10,7,2,51,51,57,100,46,48,43,3.4813996355338097,1.1281846414104104,0.44624045151316205,13.237588677526219,1.0,174.2024285430736,0.9447121161382201,0.4218881590896465,0.5438123321844832,-0.03490393317459942,0.17232209568382661,0.08019048834627629,-0.01605673753599257
some tofu is being sliced by one woman,tofu is being sliced by a woman,38,31,7,17,17,8,7,6,87,92,90,100,71,97,84,0.7972750553092991,0.3319972499955445,0.025824926481374577,3.098924794991035,1.0,70.28322661166543,0.22726603624349942,0.10362645755367175,0.11434999549477852,0.1974315777692979,0.25183568724307154,0.14544901946077493,0.2883476529790925
tofu is being sliced by a woman,tofu isn't being sliced by a woman,31,34,-3,17,18,7,7,6,95,95,90,100,90,95,95,0.9393327088234926,0.33686391627376255,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.25183568724307154,0.25183568724307154,0.2883476529790925,0.2883476529790925
a girl is cutting butter into two pieces,some tofu is being sliced by one woman,40,38,2,15,17,8,8,1,38,48,39,100,50,51,49,2.7251449686066627,1.0178598474361897,0.4091432184806886,12.270142888981354,1.0,161.52293905521668,0.9045918525691036,0.4135815607033377,0.5017269816640643,0.26778845284415564,0.1974315777692979,0.037026370430877975,0.14544901946077493
"the girl, who is little, is combing her hair into a pony tail.","the girl, who is little, is ruffling her hair",62,45,17,19,15,13,9,7,75,83,89,100,72,87,71,2.979362450204491,0.8674281270720074,0.22875412659502425,9.190809212595923,1.0,135.68579614501232,0.6763935752197664,0.3049648162903648,0.35387860437776353,0.021927844904299085,0.09457884339881067,-0.23326038186357057,0.0981722161738241
a girl is combing the hair of a little pony's tail,"the girl, who is little, is combing her hair into a pony tail.",50,62,-12,18,19,11,13,5,68,90,74,100,76,95,79,2.1819449125373525,0.7447732227469583,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.021927844904299085,0.021927844904299085,-0.23326038186357057,-0.23326038186357057
one man is sitting steadily on the chair,one man is sitting on the chair,40,31,9,15,12,8,7,7,87,95,74,100,97,100,87,0.7288149531732558,0.2821383765907287,0.09981915581725753,6.198967917254777,1.0,105.21851069285539,0.4468090467101368,0.20101837398499653,0.2247997807503592,0.008283990200435394,0.004835957417520634,-0.1484679523974748,-0.3611953188091599
"the girl, who is little, is combing her hair into a pony tail.",one man is sitting steadily on the chair,62,40,22,19,15,13,8,2,46,86,52,100,60,54,51,3.8803649768579533,1.3285371506722052,0.6645965081780375,16.04208861842926,1.0,184.6011195272259,1.1529063708316443,0.5155679264829343,0.6999980761832457,0.021927844904299085,0.008283990200435394,-0.23326038186357057,-0.1484679523974748
"the girl, who is little, is carefully combing her hair into a pony tail",one man is sitting on the chair,71,31,40,20,12,14,7,2,41,86,48,100,52,43,40,3.7169412589349275,1.322375410430789,0.6828924140676176,15.73410516709555,1.0,182.16526676351475,1.1686680019821005,0.5330851226081099,0.6890510766437933,0.04505930443711181,0.004835957417520634,-0.1459644215874052,-0.3611953188091599
one man is sitting on the chair,"the girl, who is little, is combing her hair into a pony tail.",31,62,-31,12,19,7,13,2,46,86,52,100,52,48,44,3.819512721729119,1.321593172025959,0.6809561631259251,15.902912096091313,1.0,183.6638977083029,1.1670100438013638,0.5279404105212745,0.6911292078278172,0.004835957417520634,0.021927844904299085,-0.3611953188091599,-0.23326038186357057
the man is carelessly smearing butter on a slice of garlic bread,the man isn't smearing butter on bread,64,38,26,18,15,12,7,6,71,86,71,100,66,91,69,1.552752621576402,0.5351457832675853,0.09819383013265681,6.1680472023945185,1.0,100.6216560284027,0.443156473927701,0.19918449790667292,0.22297139042973507,0.0009609918657016499,0.04675653217236915,-0.3206976568371416,-0.20389664760408266
a man is spreading butter on a piece of bread which is big,"a piece of bread, which is big, is having butter spread upon it by a man or a piece of bread, which is big, is being spread with butter by a man",58,144,-86,18,21,13,32,7,51,86,72,100,59,86,56,1.3537462166932075,0.5115607795317195,0.02782806810378924,3.320640501435264,1.0,70.25206734045504,0.23591553403598778,0.10580383379101933,0.12004737941903731,0.13164650579523487,0.06867707998133306,-0.12296199147582465,-0.2463955765958623
a man is removing the butter from a piece of bread which is big,a man is spreading butter on a piece of bread which is big,63,58,5,19,18,14,13,9,88,88,83,100,81,86,84,0.5679591629763244,0.19886100083426145,0.07628112594368175,5.389222742243874,1.0,95.9461673856953,0.3905921809304611,0.17527864022983183,0.19868195200411554,0.20758251155274898,0.13164650579523487,0.23738176679146727,-0.12296199147582465
the man is carelessly smearing butter on a slice of garlic bread,"a piece of bread, which is big, is having butter spread upon it by a man or a piece of bread, which is big, is being spread with butter by a man",64,144,-80,18,21,12,32,5,40,86,50,100,50,62,44,2.4822672160654733,0.8600279765175622,0.21010454512932486,8.869721916766139,1.0,134.1207160713956,0.6482353522711594,0.2989864730046011,0.33814761171609403,0.0009609918657016499,0.06867707998133306,-0.3206976568371416,-0.2463955765958623
the parrot is talking into the microphone,there is no parrot speaking,41,27,14,15,12,7,5,2,50,86,63,100,70,75,65,2.069133961817484,0.7330544545116353,0.217637058236548,9.121865720402639,1.0,136.04332550536856,0.6597530672118415,0.3017671077951476,0.34527968748881527,0.10905880546661735,0.022576747017851354,-0.15779981555511569,-0.07032903593109152
a parrot is speaking,the parrot is silent in front of the microphone,20,47,-27,11,14,4,9,2,45,86,75,100,60,62,42,2.6814951238399742,0.9673955969640613,0.3822632004650903,11.950360606148024,1.0,158.58593255138388,0.8743719959077545,0.4007268636405345,0.475617815635331,0.022576747017851354,0.08357097811529055,-0.07032903593109152,-0.16112476420380872
some kittens are hungry,some kittens are eating,23,23,0,14,11,4,4,3,83,83,83,100,83,83,83,1.5071918796634673,0.546347031441927,0.20255863480985115,8.937380666590798,1.0,137.13956574314318,0.6364882435157165,0.2867270442818902,0.33965669411643173,-0.05492962656141909,0.18927558105354417,-0.15339969585699054,-0.20791187653780696
a man is eating near the kittens,some kittens are eating,32,23,9,11,11,7,4,2,44,72,48,100,78,76,69,1.7892346939935684,0.6606077116188704,0.1634643083941396,7.981183543013685,1.0,126.6148792557818,0.5717767334286502,0.2551685234538422,0.29676513542087685,0.10143389953992168,0.18927558105354417,-0.2954137277124449,-0.20791187653780696
the food on the trays isn't being eaten by the kittens,the food on the trays is being eaten by the kittens,54,51,3,16,15,11,11,8,97,97,94,100,94,97,97,0.7615011717817783,0.26924854996162656,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.2756948377110556,0.2756948377110556,0.4215653504312087,0.4215653504312087
the kittens are eating the food on the trays,some kittens are eating,44,23,21,14,11,9,4,3,60,86,87,100,78,88,63,1.7522347399520875,0.5746266783845424,0.16258365177791023,7.7840021941974555,1.0,121.72095521557814,0.5702344288203444,0.25877564902349914,0.28916252638174583,0.2459026106866182,0.18927558105354417,0.20394266052007515,-0.20791187653780696
the food on the trays isn't being eaten by the kittens,some kittens are eating,54,23,31,16,11,11,4,1,36,86,48,100,61,52,47,2.6188454874243736,0.8815778462748171,0.21499670406637816,8.929404273485488,1.0,134.4166784764309,0.6557388327131195,0.2963462483778023,0.339894775840802,0.2756948377110556,0.18927558105354417,0.4215653504312087,-0.20791187653780696
some kittens are hungry,the food on the trays is being eaten by the kittens,23,51,-28,14,15,4,11,1,32,86,43,100,57,48,41,2.5615283071625234,0.8551252324461938,0.30233830402188133,10.774674936307747,1.0,152.04519030918874,0.7776095650599983,0.3501447052917067,0.42250998201952883,-0.05492962656141909,0.2756948377110556,-0.15339969585699054,0.4215653504312087
the food on the trays is being eaten by the kittens,some kittens are eating,51,23,28,15,11,11,4,1,35,86,48,100,57,55,46,2.3539600208294393,0.7798651166430115,0.21499670406637816,8.929404273485488,1.0,134.4166784764309,0.6557388327131195,0.2963462483778023,0.339894775840802,0.2756948377110556,0.18927558105354417,0.4215653504312087,-0.20791187653780696
a person is singing and playing the guitar,there is no person singing and playing the guitar,42,49,-7,15,15,8,9,7,84,93,90,100,93,98,88,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.04474092557548301,0.04474092557548301,-0.39590231468380255,-0.39590231468380255
a person is singing and playing the guitar,the singer is playing the guitar in front of a person,42,53,-11,15,15,8,11,6,55,80,62,100,79,84,78,1.2580282306129456,0.465972029688698,0.10990379953064588,6.5516422511136625,1.0,110.07100130260022,0.4688364411974746,0.21236722626845791,0.2390819558075098,0.04474092557548301,0.028381680171278418,-0.39590231468380255,-0.3530479764262666
a man is passionately playing a guitar,one man is passionately playing the guitar,38,42,-4,14,15,7,7,5,90,92,92,100,89,97,85,0.5825150533093929,0.26118367020368577,0.019798094324106397,2.682227576373407,1.0,61.18374528196492,0.19898791310687133,0.09177177278489355,0.09735120912858915,0.2150243717299945,0.19463488511559832,-0.1986286337007468,-0.18488067479525716
a man is putting away a guitar,a person is singing and playing the guitar,30,42,-12,12,15,7,8,3,61,61,53,100,67,57,56,2.12593043282032,0.8627737460289002,0.29277754975296355,10.64552685758099,1.0,151.1265619729651,0.7652157134513539,0.3423303677613268,0.4106270347111458,0.14109730887010855,0.04474092557548301,-0.229944099652295,-0.39590231468380255
a man is passionately playing a guitar,a person is singing and playing a guitar,38,40,-2,14,14,7,8,4,72,72,69,100,68,76,67,1.4527571326017379,0.559652540950805,0.18302180835165116,8.30703821514544,1.0,124.83150480040648,0.6050153738745948,0.2734526823162269,0.31092644092635086,0.2150243717299945,0.04474092557548301,-0.1986286337007468,-0.39590231468380255
a person is singing and playing the guitar,a man is passionately playing a guitar,42,38,4,15,14,8,7,4,68,73,66,100,68,77,65,1.4527571326017379,0.559652540950805,0.18302180835165116,8.30703821514544,1.0,124.83150480040648,0.6050153738745948,0.2734526823162269,0.31092644092635086,0.04474092557548301,0.2150243717299945,-0.39590231468380255,-0.1986286337007468
some animals are playing wildly in the water,a few animals are playing in the water,44,38,6,16,15,8,8,6,83,86,82,100,84,91,78,0.9579743277167064,0.34762449579540927,0.11555990886727563,6.715077701148402,1.0,114.93608260612027,0.48074923539570275,0.2136541256906826,0.25069883632852286,-0.1343376894796864,-0.11345491068282075,-0.062049143489827596,0.08448434267123295
a few animals are playing in the water,nobody is playing ping pong,38,27,11,15,11,8,5,1,46,46,56,100,56,46,46,2.903084997895833,0.9935118133373699,0.6127271251954318,15.012130315837567,1.0,186.18385925168002,1.1070023734520824,0.5105707087959835,0.6521839275613637,-0.11345491068282075,0.262765239014902,0.08448434267123295,-0.2673109291858773
two people are playing ping pong,a few animals are out of the water,32,34,-2,12,14,6,8,1,30,34,32,100,34,36,33,3.5928259251802444,1.3097219755063056,0.7984586686338309,17.467652289182297,1.0,203.2189038455295,1.263691934625392,0.5815512151581774,0.8110046663116938,0.18196352346490188,-0.2655062309335912,-0.00015247063824075369,0.37204296674933124
two people are playing ping pong,a few animals are playing in the water,32,38,-6,12,15,6,8,2,54,54,59,100,59,57,54,2.8095616244841493,1.025096727747762,0.5717459042479952,14.827433475802536,1.0,186.40903357730485,1.0693417608589868,0.48976035228840964,0.6338285911280774,0.18196352346490188,-0.11345491068282075,-0.00015247063824075369,0.08448434267123295
the windows are being polished by a man,the windows are being cleaned by a man,39,38,1,17,17,8,8,7,88,88,87,100,79,88,81,1.163543382334818,0.391163219369468,0.2136675567559243,9.363533511270361,1.0,138.9664624944101,0.6537087313511663,0.2873325281443387,0.35789689273703806,0.15287175137724046,-0.07630414382433255,0.15061895911945644,0.35530905944162594
the windows are being cleaned by a man,there is no window being cleaned by a man,38,41,-3,17,17,8,9,5,84,84,82,100,79,86,84,0.7668019344365666,0.2467155686978186,0.09237358240872862,6.013306310655025,1.0,110.93631460752549,0.42982225985054806,0.19308023792349774,0.2279957255923847,-0.07630414382433255,0.02894162394382449,0.35530905944162594,0.3545156933354199
the man is driving a car carefully,the man is driving a car,34,24,10,17,13,7,6,6,83,95,100,100,79,100,83,0.9942782874465821,0.34898999906094474,0.12590903904354755,6.84327552097966,1.0,113.33278643372824,0.5018147886968314,0.22715992083860947,0.2586685347674833,0.2840851701458708,0.3388499903711343,0.22094186697007867,0.3768204291371635
the man is driving a car,the windows are being polished by a man,24,39,-15,13,17,6,8,3,48,86,50,100,58,60,54,2.474006208627578,0.8699468856162983,0.599235496296298,15.378870705877489,1.0,190.50400134082506,1.094746970341255,0.4899526351732244,0.6662911990327526,0.3388499903711343,0.15287175137724046,0.3768204291371635,0.15061895911945644
the man is driving a car,there is no window being cleaned by a man,24,41,-17,13,17,6,9,3,46,86,46,100,62,52,49,2.441324256962537,0.864304583468128,0.5555478471998664,14.392050941729394,1.0,186.90770272546203,1.0540852518192239,0.4793034874547684,0.6238538260697434,0.3388499903711343,0.02894162394382449,0.3768204291371635,0.3545156933354199
the windows are being cleaned by a man,the man is driving a car,38,24,14,17,13,8,6,3,48,86,54,100,54,61,55,2.580678932200084,0.8787959449134987,0.6038226332035288,15.172641796874814,1.0,186.63430919728592,1.0989291293586734,0.49585052207061425,0.6682655138205145,-0.07630414382433255,0.3388499903711343,0.35530905944162594,0.3768204291371635
the woman is pouring oil into a skillet,the skillet is being oiled by a woman who is pouring some water,39,63,-24,16,19,8,13,6,49,86,59,100,77,87,73,1.5351368041225435,0.49125776518244746,0.09844230293770562,6.114851134732817,1.0,104.26750054247489,0.44371682101239146,0.20230857333478253,0.22600148369512252,0.1519952817447015,0.1797611044724118,-0.012585456273769058,-0.2993738748221042
the woman is pouring oil into a skillet,a chimp is angrily kicking a target,39,35,4,16,15,8,7,2,49,49,49,100,40,44,38,4.430406757181525,1.3013309721214772,0.7703277170675233,17.42900351065873,1.0,200.93665362467405,1.2412314249978074,0.5528181348724824,0.8076725490292164,0.1519952817447015,0.11042322990274038,-0.012585456273769058,0.260128604668838
the baby is being put into a trash can by a woman,a woman is putting the baby into a trash can,49,44,5,17,17,12,10,8,60,85,64,100,84,89,86,0.36198622563779354,0.16209755346551535,0.024095971861179732,3.016406494865805,1.0,66.20245539132438,0.21952664500476055,0.10000168348586312,0.10978978370486099,0.24365031101039933,0.09579619421979346,0.38538461968504834,0.1638776781432565
there is no baby being put into a trash can by a woman,the baby is being put into a trash can by a woman,54,49,5,17,17,13,12,10,89,91,88,100,90,96,95,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.24365031101039933,0.24365031101039933,0.38538461968504834,0.38538461968504834
the baby is being put into a trash can by a woman,a person is putting meat into a skillet carelessly,49,50,-1,17,16,12,9,3,46,46,48,100,47,48,46,3.4434512822854044,1.0906092920331059,0.5575825253406073,14.552489156430966,1.0,179.8106157867523,1.056013793013551,0.4757422444751473,0.6172445453406593,0.24365031101039933,0.12400348387835917,0.38538461968504834,-0.2490344014119712
a person is taking away the meat in the skillet,the baby is being put into a trash can by a woman,47,49,-2,16,17,10,12,3,40,50,41,100,51,53,50,3.620421507281113,1.2048129789499522,0.5983186259794255,15.169047658815543,1.0,184.53806645113667,1.0939091734422088,0.48925943423011853,0.6379182348297628,0.12897266457662773,0.24365031101039933,-0.5190068420253082,0.38538461968504834
a person is putting meat into a skillet,there is no baby being put into a trash can by a woman,39,54,-15,14,17,8,13,3,43,45,51,100,51,47,43,3.406344102589131,1.0490140523721276,0.5931277608093347,15.176907448920247,1.0,187.62157750928685,1.0891535957306437,0.4907886683895776,0.6478417438389918,0.1262963895923122,0.24365031101039933,-0.43702958647876766,0.38538461968504834
the baby is being put into a trash can by a woman,a person is putting meat into a skillet,49,39,10,17,14,12,8,3,43,48,49,100,49,50,43,3.406344102589131,1.0490140523721276,0.5931277608093347,15.176907448920247,1.0,187.62157750928685,1.0891535957306437,0.4907886683895776,0.6478417438389918,0.24365031101039933,0.1262963895923122,0.38538461968504834,-0.43702958647876766
one small child is greedily drinking water from the cup,one small child is drinking water from the cup,55,46,9,20,19,10,9,9,91,95,80,100,80,100,91,0.5584995870481066,0.1906675549147362,0.05721712943873758,4.707990070080996,1.0,93.35578143570748,0.338281330304575,0.15201153399495562,0.17197236765257742,0.021108978742868198,0.009762667664223856,-0.29354859877535944,-0.14621820179230482
the kitten is eagerly drinking some milk from the bowl,one small child is greedily drinking water from the cup,54,55,-1,18,20,10,10,4,59,62,60,100,57,65,55,2.8296469922008876,0.9728136461369242,0.28126148033151144,10.21315003739437,1.0,147.00639409454732,0.7500152975221509,0.34274975976944766,0.3973456355394166,0.20248610769613837,0.021108978742868198,-0.09224462841215741,-0.29354859877535944
the kitten is eagerly drinking some milk from the bowl,one small child is filling the cup with water,54,45,9,18,18,10,9,2,38,44,42,100,45,46,44,3.371561666059345,1.1825993629192053,0.4054835619295247,12.73104258121748,1.0,165.91100246175222,0.9005371334058907,0.3975849876181955,0.5117876085622292,0.20248610769613837,-0.03601104519081306,-0.09224462841215741,-0.2697706729459992
the band is singing,the band isn't singing,19,22,-3,10,11,4,4,3,93,93,84,100,89,93,93,1.219826058944117,0.45893317770735487,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.03345785273393354,-0.03345785273393354,-0.13344704327121848,-0.13344704327121848
the singer is leaving the band,the band is singing,30,19,11,13,10,6,4,3,53,86,53,100,68,80,73,2.1004481170254654,0.7711835437873878,0.22064242946611812,9.166208777096472,1.0,137.36110590017853,0.6642927424059185,0.2962873424324501,0.3504186685208327,-0.03275631918300175,-0.03345785273393354,-0.13267374766962226,-0.13344704327121848
a woman is putting on makeup carefully,the band isn't singing,38,22,16,18,11,7,4,0,40,50,50,36,36,33,33,3.7114849952876625,1.3473905045482095,0.8614653931722237,18.268474356922525,1.0,211.86790025718122,1.3126045544608456,0.5936126440209779,0.8998307960946039,0.23763895458990053,-0.03345785273393354,0.034159992103207415,-0.13344704327121848
a woman is putting on makeup carefully,the band is singing,38,19,19,18,10,7,4,1,39,86,53,100,32,35,35,3.777864517090559,1.3493105502158402,0.8614653931722237,18.268474356922525,1.0,211.86790025718122,1.3126045544608456,0.5936126440209779,0.8998307960946039,0.23763895458990053,-0.03345785273393354,0.034159992103207415,-0.13344704327121848
"the woman is happily playing a guitar, which is acoustic, and singing","the woman is playing a guitar, which is acoustic, and singing",69,61,8,19,19,12,11,10,94,95,87,100,86,100,94,0.8207700903876803,0.32561879546831834,0.026952800885590822,3.190591381971899,1.0,67.1335092759958,0.23217579792857956,0.10503549453051926,0.11405243235082059,0.06860152246958513,-0.05069813718886329,-0.09042111267089936,-0.19242345363760816
